Id,SalePrice
1461,128822.6380952381
1462,142954.2202380952
1463,189043.70706746026
1464,204083.06018253972
1465,201273.39309523813
1466,185404.64375000005
1467,169926.20714285714
1468,174961.1894166667
1469,192215.4051785715
1470,133672.44576190476
1471,201258.39540692643
1472,96700.77539682543
1473,96747.04206349207
1474,157321.74855158734
1475,139200.72214285718
1476,395749.7938789681
1477,237599.24609523808
1478,328032.08622222225
1479,304637.94726587296
1480,432089.4744166668
1481,257528.199952381
1482,205577.98801406924
1483,192030.69036904752
1484,180809.38767857142
1485,202967.00561507943
1486,197482.67572619056
1487,358131.36448015866
1488,230481.56652777773
1489,215659.51020238094
1490,274329.2555892857
1491,196057.84958333327
1492,104183.76994625131
1493,167574.56205952377
1494,279428.7739087301
1495,251737.8872103175
1496,266899.29971031746
1497,180838.11742857142
1498,162081.25850793644
1499,155528.7881626984
1500,165988.76444841264
1501,203171.41683333332
1502,204036.5978115079
1503,271060.69345238083
1504,226788.41705952387
1505,238108.68741269837
1506,138485.83371031744
1507,238989.13744444444
1508,172505.92123015874
1509,147464.74827380956
1510,146775.7205357143
1511,158777.81037698415
1512,157461.0000079365
1513,135241.62728968254
1514,116644.5613095238
1515,167037.35527597403
1516,144732.6811904762
1517,173570.8793452381
1518,127437.81380952387
1519,238135.36638888888
1520,145636.8696428571
1521,137621.75714285712
1522,161004.29388888885
1523,115615.31936904759
1524,120341.18462301587
1525,136235.76726190478
1526,126406.7973015873
1527,119331.20690476194
1528,119227.48552380946
1529,133177.4890873016
1530,166367.1708333333
1531,161122.0431593406
1532,83105.1330182073
1533,136409.205
1534,138588.31559523812
1535,150330.1081404152
1536,126944.21295634925
1537,104649.4657296919
1538,131789.5984621212
1539,138876.32629365078
1540,91525.32559523807
1541,132516.6636984127
1542,129417.36548611108
1543,167987.0553030303
1544,106091.45840687094
1545,124520.86073809523
1546,133629.14701190474
1547,137327.88069047625
1548,116157.42827380954
1549,113565.14733766235
1550,131813.89226190478
1551,119256.66250000003
1552,137460.9795238095
1553,115414.99669426231
1554,137597.8845952381
1555,167754.94083333336
1556,118220.53347981785
1557,115414.99669426231
1558,117458.34253463207
1559,100911.73296374889
1560,132528.62182539684
1561,123742.82001431663
1562,132780.43439285716
1563,131408.60273809521
1564,155412.67711309518
1565,193783.43952380956
1566,234708.21421428572
1567,101206.3068055555
1568,229047.1705952381
1569,160017.84742063488
1570,153871.60102380955
1571,134608.05386904767
1572,129945.04910714284
1573,215999.80148809523
1574,121981.30461309524
1575,261440.24411507952
1576,231151.8144642856
1577,199513.40041666667
1578,121812.22285714286
1579,155765.49741269837
1580,185928.22380555552
1581,166425.74305555556
1582,126040.82365476189
1583,253905.95649603166
1584,214335.63242460322
1585,149104.94892857142
1586,94972.42247813448
1587,117072.51548809523
1588,145880.310734127
1589,111876.78479365082
1590,135888.4591825397
1591,104783.52015688222
1592,122657.20394078149
1593,141367.38385714285
1594,115414.99669426231
1595,88271.63017676769
1596,217264.46154761902
1597,162380.01381746036
1598,189061.1684325397
1599,225091.36689682544
1600,213145.56319841268
1601,108000.68963744589
1602,123127.10684523812
1603,117321.05028968253
1604,317558.50600000005
1605,220910.200968254
1606,161888.34475396818
1607,140729.57315079364
1608,228649.15021428568
1609,186977.1761309524
1610,175979.20707738097
1611,160782.62152380953
1612,227323.7034404763
1613,153984.19849206347
1614,150675.18015476194
1615,92205.09226190478
1616,92205.09226190478
1617,98364.68699999998
1618,127759.34693452384
1619,156026.896297619
1620,144445.82544047618
1621,163946.38193055557
1622,133063.52951190475
1623,238035.05827777783
1624,221616.70257936502
1625,123355.08984126982
1626,166829.73551587304
1627,199496.32375793654
1628,225746.55598809526
1629,171152.57850793653
1630,247384.95879761898
1631,167801.1302380953
1632,210400.58624603174
1633,194090.3056746032
1634,185963.56559126987
1635,199629.63335714285
1636,171049.84645238094
1637,194657.57069841272
1638,202184.67819841273
1639,168698.95436507932
1640,212019.71632142857
1641,169676.42083333325
1642,270693.5296785714
1643,220681.96875000003
1644,232610.80782142864
1645,181962.94543650796
1646,171369.07976190475
1647,175544.10912698405
1648,126442.8431547619
1649,157605.17555158728
1650,122785.96917857142
1651,120430.47284523804
1652,97598.75873015875
1653,97564.66706349207
1654,146603.51798214286
1655,141367.54866666664
1656,147797.57492261907
1657,146417.1495059524
1658,181830.8323652597
1659,118468.1096825397
1660,175821.57511904766
1661,401593.2820595237
1662,339620.3245595238
1663,347712.9357956349
1664,428333.6020238096
1665,345605.0269920634
1666,343656.3384285715
1667,346734.36370039685
1668,347869.4751527777
1669,315747.9132797619
